"Wijken en buurten";"Vrije tijd en cultuur/Bioscoop/Afstand tot bioscoop (km)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 20 km (aantal)"
"Abstede, Tolsteegsingel e.o.";"     0.8";"     6.0";"    10.4";"    13.9"
"Sterrenwijk";"     0.6";"     6.0";"     9.8";"    14.0"
"Rubenslaan en omgeving";"     1.0";"     6.0";"    10.0";"    13.8"
"Watervogelbuurt";"     0.4";"     6.0";"    10.9";"    14.0"
"L. Napoleonplantsoen en omgeving";"     1.1";"     6.0";"    10.0";"    13.9"
"Maarschalkerweerd en Mereveld";"     2.5";"     5.7";"     9.5";"    12.6"
"Schildersbuurt";"     1.6";"     6.0";"    10.0";"    13.5"
"Wilhelminapark en omgeving";"     1.7";"     6.0";"    10.1";"    14.4"
"Utrecht Science Park";"     4.1";"     4.4";"     9.0";"    15.0"
"Rijnsweerd";"     2.6";"     6.0";"     9.2";"    14.7"
"Galgenwaard en omgeving";"     2.3";"     6.0";"    10.0";"    14.0"
"Wijk 06 Binnenstad";"     0.4";"     6.5";"     9.9";"    14.1"
"Domplein, Neude, Janskerkhof";"     0.3";"     6.7";"    10.1";"    14.1"
"Lange Elisabethstraat, Mariaplaats e.o.";"     0.3";"     6.9";"     9.3";"    14.0"
"Hoog-Catharijne NS en Jaarbeurs";"     0.4";"     7.0";"     9.3";"    14.0"
"Wijk C";"     0.4";"     7.0";"     9.1";"    14.0"
"Breedstraat en Plompetorengracht e.o.";"     0.2";"     6.8";"     9.9";"    14.3"
"Nobelstraat en omgeving";"     0.3";"     6.4";"    10.0";"    15.0"
"Springweg en omgeving Geertebuurt";"     0.3";"     6.1";"    10.0";"    14.0"
"Lange Nieuwstraat en omgeving";"     0.4";"     6.0";"    10.2";"    14.0"
"Nieuwegracht-Oost";"     0.8";"     6.0";"    10.7";"    14.1"
"Bleekstraat en omgeving";"     0.3";"     6.0";"    10.3";"    14.0"
"Hooch Boulandt";"     0.6";"     6.3";"    10.0";"    14.0"
"Wijk 07 Zuid";"     2.3";"     5.8";"     9.2";"    12.9"
"Lunetten-Noord";"     2.6";"     6.0";"     9.0";"    12.6"
"Lunetten-Zuid";"     3.1";"     5.4";"     9.0";"    12.0"
"Tolsteeg en Rotsoord";"     1.1";"     6.0";"    10.0";"    14.0"
"Oud Hoograven-Noord";"     1.5";"     6.0";"     9.4";"    14.0"
"Oud Hoograven-Zuid";"     2.3";"     6.0";"     9.0";"    12.8"
"Bokkenbuurt";"     1.4";"     6.0";"    10.0";"    14.0"
"Nieuw Hoograven-Noord";"     1.8";"     6.0";"     9.0";"    13.8"
"Nieuw Hoograven-Zuid";"     2.5";"     6.0";"     9.0";"    12.5"
"Wijk 08 Zuidwest";"     2.1";"     6.5";"    10.0";"    13.2"
"Dichterswijk";"     1.0";"     6.6";"    10.0";"    14.0"
"Rivierenwijk";"     1.4";"     6.0";"     9.9";"    13.9"
