buurtcode,naam,totaal
BU19301502,"Maaswijk-Noordwest",101
BU19301505,"Maaswijktuinen",180
BU19301504,"Maaswijk-Zuidoost",64
BU19301503,"Maaswijk-Zuidwest",112
BU03072709,"Maatweg",67
BU08281200,"Macharen",398
BU00803007,"Magere Weide",152
BU06873037,"Magistraatwijk I",433
BU06873038,"Magistraatwijk II",1495
BU06873040,"Magistraatwijk III",358
BU19520401,"Magrietpark",556
BU16740802,"Majoppeveld-Noord",937
BU16740803,"Majoppeveld-Zuid",1744
BU02021682,"Malburgen-West",1043
BU02520002,"Malden-Oost",15
BU02520001,"Malden-West",35
BU07960502,"Maliskamp-Oost",1086
BU07960501,"Maliskamp-West",242
BU16760001,"Malta",894
BU04000806,"Malzwin",451
BU01660019,"Mandjeswaard",9
BU06640111,"Mannee",516
BU00808103,"Mantgum",482
BU03634801,"Marathonbuurt Oost",233
BU03634802,"Marathonbuurt West",232
BU03631503,"Marcanti",126
BU08282101,"Maren",146
BU08282100,"Maren-Kessel",567
BU05460101,"Marewijk",217
BU19030200,"Margraten",28
BU19480426,"Mariaheide",796
BU17110630,"Maria Hoop",416
BU16590300,"Mariahout",696
BU05050509,"Maria Montessorilaan en omgeving",586
BU17110103,"Mariaveld",315
BU04000700,"Mariëndal",96
BU17082700,"Marijenkampen",1
BU04000501,"Marina",269
BU03630900,"Marine-Etablissement",486
BU03637005,"Marjoleinterrein",63
BU17350200,"Markelo",45
BU03611006,"Markenbinnen",15
BU19301705,"Markenburg",9
BU03636803,"Markengouw Midden",529
BU03636804,"Markengouw Zuid",243
BU00340272,"Markerkant",639
BU08520002,"Markgouw",867
BU01411301,"Markgraven",569
BU06870005,"Markt",581
BU02020100,"Markt",397
BU03631501,"Markthallen",32
BU05890206,"Markveld",4
BU17731031,"Marle",102
BU05182568,"Marlot",1779
BU05031403,"Marlot",269
BU03630605,"Marnixbuurt Midden",5
BU03630603,"Marnixbuurt Noord",60
BU03630609,"Marnixbuurt Zuid",50
BU01602808,"Marslanden",52
BU19493401,"Marsum",895
BU03010002,"Marswegkwartier",126
BU19520105,"Martenshoek en Industriegebied Martenshoek",364
BU09570805,"Martin Giessen-Bosstraat",1426
BU19691100,"Marum",94
BU07580309,"Mastbos",3306
BU01932210,"Mastenbroek",18
BU18960500,"Mastenbroek",151
BU05050203,"Matena's Pad en omgeving",257
BU04390503,"Maten- en Zuivelbuurt",1333
BU03441014,"Máximapark",5279
BU17290400,"Mechelen",944
BU03921101,"Medanbuurt",232
BU04200107,"Medemblik Bedrijventerrein",492
BU04200110,"Medemblik Buitengebied",615
BU04200104,"Medemblik Koggenwijk",403
BU04200101,"Medemblik Oude Stad",1033
BU04200103,"Medemblik Parkwijk",123
BU04200102,"Medemblik Plan West",192
BU04200105,"Medemblik Randwijk en Gildenwijk",626
BU04200106,"Medemblik Schepenwijk",690
BU04200108,"Medemblik Vooroever",91
BU04200109,"Medemblik Zuiderzee",21
BU04020206,"Media Park",529
BU03638903,"Medisch Centrum Slotervaart",344
BU19522101,"Meeden",623
BU19522102,"Meeden Buitengebied",979
BU00100932,"Meedhuizen",213
BU07726320,"Meerbos",649
BU05460400,"Meerburg",675
BU06381006,"Meerburg",299
BU08670007,"Meerdijk",2669
BU08280806,"Meerdijk",555
BU05530102,"Meerenburgh",811
BU05530101,"Meer en Duin",130
BU03638101,"Meer en Oever",260
BU19610700,"Meerkerk kern",4
BU19610702,"Meerkerk Polder",36
BU19610701,"Meerkers Broek",10
BU09951059,"Meerkoetenweg, Eendenweg, Larserpad",645
BU03750001,"Meerplein",429
BU06370905,"Meerpolder",158
BU07726399,"Meerrijk",2090
BU04891429,"Meerwede Noordoost",334
BU04891430,"Meerwede Noordwest",388
BU04891431,"Meerwede Zuidoost",747
BU04891432,"Meerwede Zuidwest",644
BU19520602,"Meerwijck",416
BU04518500,"Meerwijk",1240
BU04516500,"Meerwijk",2596
BU03922107,"Meerwijkplas",47
BU06370101,"Meerzicht-Oost",1767
BU06370100,"Meerzicht-West",2457
BU17240008,"Meester Pankenstraat-Riethovensedijk",93
BU19591601,"Meeuwen",36
BU03921402,"Meeuwenbuurt",146
BU05020334,"Meeuwenbuurt",330
BU08281300,"Megen",1198
BU19010101,"Meije",61
BU19420305,"Meijerkamp",578
BU07480101,"Meilust Noord",1953
BU07480100,"Meilust Zuid",1031
BU02021681,"Meinerswijk/De Praets",167
BU16690301,"Melick",2142
BU07170800,"Meliskerke",455
BU19240802,"Melissant buitengebied",443
BU08552904,"Melis Stokestraat",262
BU17341507,"Melkweide",765
BU19493501,"Menaam Bedrijventerrein Noord",31
BU19493502,"Menaam Oost",487
BU19493503,"Menaam West",398
BU15251205,"Mennepark",212
BU07724240,"Mensfort",976
BU19661003,"Mensingeweer",59
BU01931170,"Meppelerstraatweg-Zuid",148
BU03634103,"Mercatorpark",185
BU02990011,"Mercurion",426
BU05020225,"Merelbuurt",535
BU09950424,"Merenbuurt",230
BU05460803,"Merenwijk-Centrum",2473
BU17340401,"Merm",91
BU09840301,"Merselo",2217
BU09570702,"Merum",1438
BU05050605,"Merwedepolder-Oost",776
BU05050604,"Merwedepolder-West",450
BU05059800,"Merwelanden",300
BU03561400,"Merwestein",750
BU05050204,"Merwestein-Noord",147
BU19030003,"Mesch",4
BU19600400,"Meteren",365
BU19600402,"Meteren - De Plantage",242
BU19600403,"Meteren e.o.",930
BU19600401,"Meteren - Kalenberg",865
BU02990010,"Methen",1502
BU08280402,"Mettegeupel",689
BU09832603,"Meuleveld",1133
BU02284034,"Meulunteren/De Valk",250
BU19030500,"Mheer",3
BU04798150,"Middel",160
BU17731132,"Middel",1892
BU08230200,"Middelbeers",27
BU19010617,"Middelburg",28
BU06874954,"Middelburgschepolder",64
BU15252101,"Middelbuurt",515
BU02021885,"Middelgraaflaan e.o.",238
BU19240304,"Middelharnis bomenbuurt",2
BU19240307,"Middelharnis buitengebied",1
BU03850601,"Middelie",490
BU04820302,"Middelland",184
BU05990325,"Middelland",1396
BU06320301,"Middelland-Noord",297
BU06320302,"Middelland-Zuid",429
BU00807402,"Middelsee",135
BU00240200,"Middelstum",1263
BU17110104,"Middelveld",472
BU03638400,"Middelveldsche Akerpolder",561
BU04000801,"Middelzand",686
BU05370505,"Midden",374
BU09070302,"Midden",1571
BU07770100,"Midden bedrijventerrein Vosdonk",837
BU03700000,"Middenbeemster",3308
BU19420207,"Midden Eng-Oost",550
BU19420208,"Midden Eng-West",160
BU00500007,"Middengebied",7033
BU00340472,"Middenkant",516
BU07770200,"Midden landelijk gebied",1092
BU03635601,"Middenmeer Noord",322
BU03635602,"Middenmeer Zuid",577
BU05900004,"Middenpolder",1541
BU05130505,"Middenwillens",245
BU17300300,"Midlaren",273
BU04201102,"Midwoud Buitengebied",592
BU04201101,"Midwoud Centrum",1483
BU17710100,"Mierlo",5677
BU02001204,"Miggelenberg",222
BU07360108,"Mijdrecht Buitengebied",69
BU19040306,"Mijnden",14
BU04000109,"Mijnendienst",76
BU19630299,"Mijnsheerenland Buitengebied",554
BU19630200,"Mijnsheerenland Woonkern",41
BU05050906,"Mildenburg en omgeving",574
BU16520500,"Milheeze",952
BU01932240,"Milligen",2535
BU19450900,"Millingen aan de Rijn-Oost",18
BU19450901,"Millingen aan de Rijn-West",54
BU08150924,"Mill-Zuid",66
BU09070000,"Milsbeek",529
BU03634904,"Minervabuurt Midden",317
BU03634903,"Minervabuurt Noord",417
BU03634905,"Minervabuurt Zuid",320
BU06030854,"Ministerbuurt",1492
BU19420508,"Ministerpark",773
BU05031303,"Ministersbuurt-Oost",319
BU05031302,"Ministersbuurt-West",375
BU05050905,"Minnaertweg en omgeving",361
BU16740404,"Minnebeek-Watermolen",1398
BU19493601,"Minnertsga Bedrijventerrein Boskdykje",70
BU19493602,"Minnertsga Noord",278
BU19493603,"Minnertsga Zuid",273
BU07726280,"Mispelhoef",1519
BU02940102,"Miste",38
BU19110105,"Moerbeek",35
BU17741514,"Moerbekkenkamp",3
BU04530300,"Moerbergbuurt",43
BU17090400,"Moerdijk",485
BU08553001,"Moerenburg",1594
BU18920106,"Moerkapelle kassengebied",79
BU18920104,"Moerkapelle-Oost",287
BU18920103,"Moerkapelle-West",315
BU08554701,"Moerse Dreef",989
BU16741300,"Moerstraten",123
BU05183638,"Moerwijk-Noord",1054
BU05183620,"Moerwijk-Oost",1296
BU05183637,"Moerwijk-West",1321
BU05183639,"Moerwijk-Zuid",1208
BU09882201,"Moesel",18
BU03010300,"Moesmate en Tichelkuilen",14
BU19781105,"Molenaarsgraaf-Buitengebied",751
BU19781101,"Molenaarsgraaf-Dorp",93
BU19781103,"Molenaarsgraaf-Vuilendam",9
BU09880301,"Molenakker",16
BU07700001,"Molenakkers",67
BU02020841,"Molenbeke",207
BU17340304,"Molenberg",242
BU09832301,"Molenbossen",690
BU05130701,"Molenbuurt",688
BU05460108,"Molenbuurt",101
BU05031407,"Molenbuurt",289
BU00340304,"Molenbuurt",1579
BU05020661,"Molenbuurt",687
BU19480220,"Molendijk",173
BU03830201,"Molendijk",1857
BU16960102,"Moleneind",2
BU08280200,"Moleneind",499
BU08560103,"Moleneind-Groenewoud",9
BU07580204,"Moleneind-oost",264
BU07960506,"Molenhoek",3140
BU02520004,"Molenhoek",41
BU04390205,"Molenkoog",814
BU05990665,"Molenlaankwartier",3156
BU00802008,"Molenpad",267
BU03922007,"Molenplas",546
BU07840200,"Molenschot",605
BU17830713,"Molensloot",50
BU08650101,"Molenstraat en omgeving",1010
BU07700006,"Molenveld en Schadewijk",91
BU05900002,"Molenvliet",3016
BU05121000,"Molenvliet",764
BU04890816,"Molenvliet 1",729
BU04890817,"Molenvliet 2",463
BU06320203,"Molenvliet-Oost",277
BU06320202,"Molenvliet-West",160
BU18960206,"Molenwaard",50
BU07180503,"Molenweg e.o.",586
BU02990001,"Molenwijk",597
BU03636605,"Molenwijk",94
BU05370303,"Molenwijk",989
BU17341702,"Molenzicht",80
BU03921104,"Molukkenbuurt",267
BU05020557,"Molukkenbuurt",272
BU08520000,"Monnickendam",737
BU02021154,"Monnikenhuizen",768
BU17830502,"Monster Centrumgebied",18
BU03350000,"Montfoort",153
BU16690101,"Montfort",787
BU18920302,"Moordrecht Bloemenbuurt",158
BU05183489,"Morgenstond-Oost",1925
BU05183488,"Morgenstond-West",1371
BU05183480,"Morgenstond-Zuid",1259
BU05300402,"Morgen Stont",22
BU05184212,"Morgenweide",1944
BU19500201,"Morige",82
BU06873946,"Mortiere I",742
BU06873970,"Mortiere II",431
BU06873950,"Mortiere III",1166
BU06874955,"Mortierepolder",35
BU04411006,"Muggenburg",1108
BU04411007,"Muggenburg-Zuid",48
BU19420402,"Muiderberg",1423
BU03921604,"Muiderkring",239
BU07580603,"Muizenberg",1883
BU05032407,"Multatulibuurt",580
BU19500705,"Munnekemoer",44
BU03270005,"Munnikhove",392
BU18830300,"Munstergeleen",2187
BU17110105,"Munsterveld",294
BU19521803,"Muntendam Buitengebied oost",387
BU19521804,"Muntendam Buitengebied west",83
BU19521802,"Muntendam-oost",1579
BU19521801,"Muntendam-west",1111
BU07723330,"Muschberg, Geestenberg",1649
BU03634707,"Museumplein",269
BU00370400,"Mussel",716
BU00370409,"Mussel Buitengebied",228
BU00370200,"Musselkanaal Centrum",65
BU00370201,"Musselkanaal Zuid",19
BU06030771,"Muziekbuurt",1394
BU05130705,"Muziekbuurt",338
BU02431201,"Muziekland I",658
BU02431202,"Muziekland II",265
BU02431203,"Muziekland III",199
BU02431204,"Muziekland IV",126
BU00340212,"Muziekwijk Noord",5610
BU00340213,"Muziekwijk Zuid",2778
BU05032403,"Mythologiebuurt",290
BU17830101,"Naaldwijk Centrumgebied",62
BU19420501,"Naarden Vesting",18
BU19420513,"Naardermeer",2
BU19420575,"Naardermeerkwartier",436
BU19420503,"Naarderwoonbos",8
BU07530009,"Naastenbest",1883
BU16850201,"Nabbegat-Voederheil",844
BU03921401,"Nachtegaalbuurt",262
BU02430701,"nachthok",94
BU18960204,"Nadorst",770
BU00100730,"Nansum",103
BU08552303,"Nassaubuurt",346
BU06060306,"Nassaubuurt",304
BU05180448,"Nassaubuurt",604
BU06260012,"Nassauwijk",970
BU19521103,"Natuurgebied Froombosch",431
BU19520906,"Natuurgebied Scharmer",77
BU04530104,"Natuurkundigenbuurt",648
BU06060102,"Natuurkundigenbuurt",243
BU03920405,"Natuurkundigenbuurt-oost",647
BU03920404,"Natuurkundigenbuurt-west",618
BU09951041,"Natuurpark Lelystad",1480
BU02670105,"Nautena-noord/Havenstraat",784
BU02670104,"Nautena-zuid/Schulpkamp",835
BU03637105,"NDSM terrein",152
BU03440322,"Neckardreef en omgeving",2027
BU08800100,"Neck (gedeeltelijk)",44
BU02520101,"Nederasselt",72
BU05230001,"Neder-Hardinxveld",3207
BU02970300,"Nederhemert-Noordzijde",198
BU02970301,"Nederhemert-Zuidzijde",232
BU08200200,"Nederwetten",748
BU02284031,"Nederwoud",326
BU08880001,"Neerbeek",8
BU19600602,"Neerijnen",255
BU07620300,"Neerkant",741
BU08281703,"Neerlangel",328
BU08281601,"Neerloon",738
BU04530700,"Neethofbuurt",477
BU18420005,"Negenhuizen en Zouteveen",249
BU03730104,"Negen-Nessen",65
BU03960502,"Neksloot",361
BU03921003,"Nelson Mandelabuurt",277
BU03639310,"Nelson Mandelapark",43
BU09950962,"Neringpassage",140
BU04411003,"Nesdijk",1051
BU04411791,"Nes en Buitengebied",146
BU03630003,"Nes e.o.",83
BU04411703,"Nes-Noord",392
BU04847001,"Nesse",206
BU05991468,"Nesselande",4566
BU06060106,"Newtonbuurt",122
BU04201002,"Nibbixwoud Bedrijventerrein",67
BU04201003,"Nibbixwoud Buitengebied",1036
BU04201001,"Nibbixwoud Centrum",603
BU03510002,"Nico Bergsteijn",598
BU19690300,"Niekerk",136
BU19690404,"Nienoordsrand",127
BU02970204,"Nieuwaal",215
BU06872936,"Nieuw Abeele",371
BU01931320,"Nieuw-Assendorp",439
BU19631399,"Nieuw-Beijerland Buitengebied",142
BU19631300,"Nieuw-Beijerland Woonkern",3
BU07480204,"Nieuw Borgvliet",1443
BU16810700,"Nieuw-Buinen",4132
BU05990836,"Nieuw Crooswijk",2893
BU04000408,"Nieuw Den Helder Zuid-Oost",429
BU19550203,"Nieuw-Dijk",1
BU15090203,"Nieuwdorp Bontebrug",45
BU06540901,"Nieuwdorp (Kern)",399
BU03633404,"Nieuwe Diep/Diemerpark",69
BU07722360,"Nieuwe Erven",317
BU03440626,"Nieuwegracht-Oost",556
BU05050100,"Nieuwe Haven en omgeving",182
BU02020339,"Nieuwe Kadekwartier",176
BU15860113,"Nieuwe Kamp",23
BU03630104,"Nieuwe Kerk e.o.",11
BU04890918,"Nieuweland 1",404
BU04890919,"Nieuweland 2",443
BU04890920,"Nieuweland 3",569
BU04890921,"Nieuweland 4",172
BU04890922,"Nieuweland 5",447
BU01480303,"Nieuwe Landen",37
BU05130100,"Nieuwe Markt e.o.",156
BU03638802,"Nieuwe Meer",231
BU07480402,"Nieuwe Molen",252
BU17090702,"Nieuwemolen met Driehoek",218
BU16740209,"Nieuwenberg",584
BU03636403,"Nieuwendammerdijk Oost",17
BU03636402,"Nieuwendammerdijk West",33
BU03636404,"Nieuwendammerdijk Zuid",64
BU19590301,"Nieuwendijk",1
BU03630102,"Nieuwendijk Noord",38
BU03440131,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1296
BU06871768,"Nieuwenhove",16
BU19110100,"Nieuwe-Niedorp",197
BU06874051,"Nieuw- en Sint Joosland",579
BU03635701,"Nieuwe Oosterbegraafplaats",47
BU03080005,"Nieuwe-Oosterhei",900
BU05130104,"Nieuwe Park Oost",917
BU05130105,"Nieuwe Park West",226
BU07650100,"Nieuwe Pekela",210
BU16760600,"Nieuwerkerk",971
BU19040905,"Nieuwersluis",57
BU04840601,"Nieuwe Sloot",650
BU19160801,"Nieuw Essesteijn / Zijdezigt",237
BU00801002,"Nieuwestad",94
BU19241103,"Nieuwe-Tonge buitengebied",26
BU05560405,"Nieuwe waterweg",145
BU05050406,"Nieuweweg en omgeving",1187
BU05990118,"Nieuwe Werk",2676
BU05990324,"Nieuwe Westen",2848
BU18840101,"Nieuwe Wetering",296
BU06140005,"Nieuw gebied",488
BU03921102,"Nieuw-Guineabuurt",270
BU16761205,"Nieuw-Haamstede",624
BU01770401,"Nieuw Heeten Kern",34
BU03440732,"Nieuw Hoograven-Noord",702
BU03440733,"Nieuw Hoograven-Zuid",1565
BU04820206,"Nieuw Kinderdijk",197
BU05690000,"Nieuwkoop",2
BU04820503,"Nieuwland",162
BU01411103,"Nieuwland",387
BU05010006,"Nieuwland",37
BU02741103,"Nieuwland",403
BU04000400,"Nieuwlandbuurt",555
BU06874952,"Nieuwlandsrust",415
BU19781204,"Nieuw-Lekkerland-Buitengebied",98
BU19781201,"Nieuw-Lekkerland-Dorp",342
BU19781202,"Nieuw-Lekkerland-Middelweg",222
BU01480201,"Nieuwleusen Noord",353
BU01480204,"Nieuwleusen Zuid",35
BU03630404,"Nieuwmarkt",98
BU05991926,"Nieuw Mathenesse",222
BU06060500,"Nieuw-Mathenesse",140
BU06871213,"Nieuw Middelburg",364
BU04730104,"Nieuw Noord - bedrijven",200
BU04730105,"Nieuw Noord - wonen",734
BU18951000,"Nieuwolda",154
BU03510003,"Nieuwoord",1442
BU19781301,"Nieuwpoort-Stad",374
BU03638805,"Nieuw Sloten Noordoost",1138
BU03638804,"Nieuw Sloten Noordwest",919
BU03638808,"Nieuw Sloten Zuidoost",695
BU03638807,"Nieuw Sloten Zuidwest",745
BU03010003,"Nieuwstad en Coehoornsingel",7
BU17110939,"Nieuwstadt Centrum",309
BU09833502,"Nieuw-Steyl",914
BU01411500,"Nieuwstraat en omgeving",121
BU05690100,"Nieuwveen",9
BU05690002,"Nieuwveenseweg",75
BU03940236,"Nieuw-Vennep Getsewoud Noord",3324
BU03940237,"Nieuw-Vennep Getsewoud Zuid",3347
BU03940235,"Nieuw-Vennep Linquenda",2218
BU03940240,"Nieuw-Vennep Omgeving",3233
BU03940230,"Nieuw-Vennep Oost",1481
BU03940241,"Nieuw-Vennep 't Kabel",106
BU03940231,"Nieuw-Vennep Welgelegen",788
BU03940232,"Nieuw-Vennep Welgelegen Noord",1933
BU03940233,"Nieuw-Vennep West",1354
BU03940239,"Nieuw-Vennep Wilhelminahoeve",731
BU03940234,"Nieuw-Vennep Zuid",2395
BU17140800,"Nieuwvliet",62
BU17140801,"Nieuwvliet-Bad-Oost en -West",305
BU08510400,"Nieuw-Vossemeer",2052
BU05181840,"Nieuw Waldeck",2886
BU06290002,"Nieuw-Wassenaar",1358
BU02223110,"Nieuw-Wehl-Noord",135
BU19520407,"Nieuw Woelwijck",503
BU07580701,"Nieuw Wolfslaar",887
BU19691402,"Niezijl",136
BU19493700,"Nij Altoenae",138
BU00861102,"Nij Beets-Buitengebied",3
BU00900131,"Nijega",550
BU03990304,"Nijenburg",141
BU03440221,"Nijenoord, Hoogstraat en omgeving",439
BU17011300,"Nijensleek",3
BU00980305,"Nijetrijne",27
BU02670300,"Nijkerkerveen-Noord",708
BU02670301,"Nijkerkerveen-Zuid",517
BU00804101,"Nijlân",1737
BU19480315,"Nijnsel",784
BU01411909,"Nijrees",637
BU17290302,"Nijswiller",356
BU19420006,"Nijverheidswerf",121
BU03450205,"Nijverkamp",151
BU03071603,"Nimmerdor",5
BU03637400,"Nintemanterrein",62
BU16741000,"Nispen",703
BU06541001,"Nisse (Kern)",201
BU00340503,"Nobelhorst",1149
BU03922103,"Nobelprijsbuurt",669
BU03440623,"Nobelstraat en omgeving",248
BU07430102,"Nobis",5
BU04893163,"Noldijk",593
BU06060607,"Nolensbuurt",915
BU06060401,"Noletbuurt",306
BU04411103,"Nolmerban",274
BU19030502,"Noorbeek",2
BU09070301,"Noord",159
BU04020703,"Noord",2993
BU02260307,"Noord",426
BU04890204,"Noord 1",1612
BU07771000,"Noord 1",283
BU07771001,"Noord 2",239
BU04890205,"Noord 2",111
BU04890206,"Noord 3",448
BU07771002,"Noord 3",298
BU04890207,"Noord 4",265
BU07771003,"Noord 4",105
BU03700002,"Noordbeemster",1159
BU19521901,"Noordbroek",809
BU19521902,"Noordbroek Buitengebied",2104
BU17741410,"Noord Deurningen kern",6
BU00141209,"Noorddijk",17
BU03960403,"Noorddorp",566
BU04730404,"Noord duinen",23
BU04844501,"Noordeinde",665
BU16212412,"Noordeinde",154
BU02210101,"Noordelijk Molenveld",76
BU19781402,"Noordeloos-Buitengebied-Zuid",416
BU19781408,"Noordeloos-West",66
BU01500103,"Noordenbergkwartier",75
BU01500104,"Noordenbergsingel",286
BU03830211,"Noord-End",3643
BU05690001,"Noorden (gedeeltelijk)",3
BU03030608,"Noorderbaan",268
BU01931020,"Noordereiland",288
BU05991088,"Noordereiland",529
BU02130602,"Noorder Enk",578
BU04796220,"Noorderham",1520
BU04000809,"Noorderhaven",9
BU04796120,"Noorderhoofdbuurt",1364
BU00141104,"Noorderhoogebrug",757
BU03921301,"Noorderhout",1818
BU03636604,"Noorder IJplas",13
BU05050602,"Noorderkwartier",160
BU05460301,"Noorderkwartier",3136
BU03990201,"Noorderneg",645
BU19520101,"Noorderpark",670
BU00340215,"Noorderplassen",4227
BU01500301,"Noorderplein",87
BU09831605,"Noorderpoort",39
BU03637309,"Noorderstrook Oost",265
BU03637308,"Noorderstrook West",13
BU03520004,"Noorderwaard-Noord",780
BU03520005,"Noorderwaard-Zuid",417
BU01530903,"Noord Esmarke",199
BU07480103,"Noordgeest",1263
BU16760400,"Noordgouwe",383
BU17090500,"Noordhoek",646
BU06260001,"Noord-Hofland",2705
BU19691401,"Noordhorn",134
BU03100703,"Noord Houdringe",151
BU06370401,"Noordhove-Oost",1593
BU06370400,"Noordhove-West",1156
BU06270304,"Noordkade",4
BU05990452,"Noord Kethel",215
BU06060909,"Noordkethelpolder",573
BU07771200,"Noord landelijk gebied 1",934
BU07771201,"Noord landelijk gebied 2",1027
BU07771202,"Noord landelijk gebied 3",881
BU07771203,"Noord landelijk gebied 4",2767
BU17090901,"Noordlangeweg",318
BU05010004,"Noord Meeuwenoord",160
BU05310502,"Noordoevers",1
BU03637701,"Noordoever Sloterplas",1019
BU00900010,"Noordoost",1373
BU05370503,"Noord-Oost",333
BU02160002,"Noordoostelijke Buitenwijken",2344
BU03633200,"Noordoostkwadrant Indische buurt",526
BU04843101,"Noordpolder",375
BU19420410,"Noordpolder",42
BU05183826,"Noordpolderbuurt",1493
BU19260353,"Noordpolder Delfgauw",5
BU19260113,"Noordpolder Pijnacker",667
BU17090301,"Noordschans",138
BU05690201,"Noordse Dorp",4
BU04530900,"Noord-Spaarndammerpolder",104
BU19600802,"Noord uitbreiding Asperen industrieterrein",2
BU05460105,"Noordvest",407
BU16761400,"Noordwelle",268
BU09841301,"Noordwest",411
BU03633100,"Noordwestkwadrant Indische buurt Noord",265
BU03633101,"Noordwestkwadrant Indische buurt Zuid",232
BU19691106,"Noordwijk",53
BU05750200,"Noordwijkerhout",394
BU05992705,"Noordzeeweg",475
BU19010104,"Noordzijde",417
BU09950614,"Noordzoom Oost",123
BU03270002,"Noorwijck",641
BU19260221,"Nootdorp Centrum/West",564
BU01602803,"Norden en Hazenbos",10
BU02035412,"Norschoten",1695
BU08553707,"Notre Dame",709
BU02021368,"N.O. van Schaarsbergen",3047
BU02890801,"Nude-buurt",147
BU02890802,"Nudepark, Rijnhaven en Industrieweg",52
BU08200000,"Nuenen-Noord",4023
BU08200002,"Nuenen-Oost",3266
BU08200001,"Nuenen-Zuid",4911
BU19630950,"Numansdorp Bedrijventerrein Middelsluis",46
BU19630999,"Numansdorp Buitengebied",131
BU19630900,"Numansdorp Woonkern",6
BU17141101,"Nummer Eén en omgeving",9
BU03020000,"Nunspeet-Oost",6304
BU03020001,"Nunspeet-West",4631
BU03020002,"Nunspeet-Zuid",298
BU04840109,"Nuovaweg",106
BU18830700,"Obbicht",907
BU15980113,"Obdam Verspreide huizen Oost",33
BU15980102,"Obdam Verspreide huizen West",338
BU19660101,"Obergum",64
BU05181590,"Ockenburgh",2921
BU03120100,"Odijk",41
BU08560301,"Odiliapeel",11
BU16811000,"Odoorn",1714
BU16811400,"Odoornerveen",855
BU07560300,"Oeffelt Centrum",149
BU02130313,"Oeken kern",68
BU18840201,"Ofwegen",54
BU08282000,"Oijen",165
BU09840701,"Oirlo",1676
BU08230000,"Oirschot-Centrum",58
BU01501301,"Okkenbroek",542
BU02690000,"Oldebroek",110
BU03030609,"Oldebroekerweg",75
BU00802001,"Oldegalieën",451
BU00801003,"Oldehove",467
BU03730115,"Oldehove",7
BU19690301,"Oldekerk",243
BU17080200,"Oldemarkt",208
BU02035410,"Oldenbarneveld",1307
BU01935060,"Oldenelerbroek",1793
BU01935040,"Oldenelerlanden-Oost",746
BU01935050,"Oldenelerlanden-West",706
BU17341807,"Oldenhof",213
BU19480316,"Olland",310
BU05031305,"Olofsbuurt",468
BU17730112,"Olst Centrum-Oost",596
BU17730111,"Olst Centrum-West",374
BU05340302,"Olympiakwartier",290
BU00340404,"Olympiakwartier",195
BU03634803,"Olympisch Stadion e.o.",279
BU05340401,"Om de Zanderij",1050
BU17340903,"Omg. Binnenstraat-Stenenkamerstraat",89
BU08241104,"Omg. Boxtelsebn/Waterhoef",1
BU08241302,"Omg. De Lind/Kerkstr",14
BU08240904,"Omg. Dotterpln/Wildemanstr",1
BU08240601,"Omgeving George Perklaan",2
BU08241201,"Omgeving Industrieterrein",62
BU18830609,"Omgeving Limbrichterbos-Wolfrath",461
BU17340601,"Omgeving Oude Bemmelseweg",231
BU18830209,"Omgeving Schwienswei",313
BU18830109,"Omgeving Watersley",303
BU17341505,"Omg. Julianaweg",63
BU08240902,"Omg. Levenskerk/Boomgaard",39
BU08240201,"Omg. Pannenschuur-Centrum",24
BU08241301,"Omg. Petrus-Kerk",1
BU17341808,"omg. Reuvenkamp",329
BU17341103,"Omg. Sterappel, Loohof en Zetten Zuid",242
BU08240801,"Omg. 't Seuverick",29
BU08240802,"Omg. 't Westend",54
BU17341107,"Omg. Vluchtheuvellaan",95
BU00470101,"Ommelanderwijk",102
BU05991463,"Ommoord",10895
BU02740103,"Onder de Bomen",715
BU02020734,"Onder de Linden",176
BU19660004,"Onderdendam",91
BU09831209,"Onderste en Bovenste Molen",110
BU03960700,"Onderwijzersbuurt",421
BU03440222,"Ondiep",1230
BU00370300,"Onstwedde",329
BU00370308,"Onstwedde Buitengebied Noord",77
BU00370309,"Onstwedde Buitengebied Zuid",1007
BU04000702,"Ooghduyne",95
BU03440112,"Oog in Al",1284
BU00100413,"Oogstbuurt",146
BU07727330,"Ooievaarsnest",821
BU03638000,"Ookmeer",501
BU09570700,"Ool",189
BU09570703,"Oolder Veste",489
BU08280400,"Oorlogsheldenbuurt",173
BU02220401,"Oosseld en Vijverberg-Zuidwest",37
BU06270407,"Oost",609
BU05970300,"Oost",1913
BU19260232,"Oostambacht/Heronpark",588
BU03700003,"Oostbeemster",919
BU05183131,"Oostbroek-Noord",418
BU05183135,"Oostbroek-Zuid",577
BU17140500,"Oostburg",2334
BU06220402,"Oostbuurt",1429
BU06290102,"Oostdorp",356
BU05180170,"Oostduinen",99
BU08261200,"Oosteind",11
BU19660503,"Oosteinde",16
BU19010937,"Oosteinde",271
BU15980506,"Oosteinde",57
BU17000002,"Oosteinde en Slot",6
BU05900006,"Oosteind en De Kooy",679
BU08230300,"Oostelbeers",25
BU03633300,"Oostelijke Handelskade",44
BU04570801,"Oostelijke Vechtoever",334
BU03630903,"Oostenburg",222
BU05310102,"Oostendam",1027
BU05970900,"Oostendam",257
BU02300104,"Oostendorp",1193
BU02741101,"Oosterbeekse Waarden",309
