buurtcode,naam,totaal
BU08554002,"Auteursbuurt",531
BU09831512,"Auxillatrix",126
BU05120800,"Avelingen Oost",163
BU05120900,"Avelingen West",102
BU15980801,"Avenhorn Verspreide huizen West",201
BU01501202,"Averlo en Frieswijk",5892
BU05020447,"AWZI Oostgaarde",283
BU05020996,"AWZI Rivium",146
BU04390702,"Azië",1060
BU05032204,"Aziëbuurt",1277
BU05051102,"Azobe en omgeving",257
BU07771004,"Baai 1",262
BU07771005,"Baai 2",225
BU07771006,"Baai 3",749
BU07771007,"Baai 4",426
BU05020448,"Baaienbuurt",549
BU19491700,"Baaium",208
BU18760302,"Baak",55
BU17110101,"Baakhoven",16
BU01602807,"Baalderveld",44
BU00100948,"Baamsum",13
BU03636800,"Baanakkerspark Noord",45
BU03636801,"Baanakkerspark Zuid",71
BU18830201,"Baandert",1160
BU04390505,"Baanstee en omgeving",2562
BU00808115,"Baard",302
BU08670002,"Baardwijk",80
BU06540101,"Baarland (Kern)",212
BU07440000,"Baarle-Nassau",311
BU17083600,"Baarlo",32
BU17082300,"Baars",3
BU07980301,"Baarschot",86
BU15980403,"Baarsdorpermeer",182
BU19301410,"Baarsveen",111
BU02990100,"Babberich",596
BU06220501,"Babberspolder Noord",1560
BU06220504,"Babberspolder Oost",1237
BU06220503,"Babberspolder West",1259
BU03940559,"Badhoevedorp Antoniushoeve",890
BU03940554,"Badhoevedorp Bouwlust",1455
BU03940557,"Badhoevedorp Centrum",663
BU03940562,"Badhoevedorp Dijk",24
BU03940564,"Badhoevedorp Nieuwe Meer",122
BU03940558,"Badhoevedorp Noordoost",515
BU03940552,"Badhoevedorp Noordwest",663
BU03940551,"Badhoevedorp Omgeving",73
BU03940560,"Badhoevedorp Oost",618
BU03940561,"Badhoevedorp Schuilhoeve",97
BU03940553,"Badhoevedorp West",451
BU03940556,"Badhoevedorp Zuid",331
BU00140105,"Badstratenbuurt",25
BU19660200,"Baflo",20
BU01931140,"Bagijneweide",257
BU16520400,"Bakel",2936
BU02021365,"Bakenberg",412
BU03920103,"Bakenes",268
BU02021798,"Bakenhof",512
BU16740609,"Bakkersberg-Langendijk",783
BU02740203,"Bakkershaag",450
BU03830401,"Bakkum-Noord",110
BU03830411,"Bakkum-Zuid",1785
BU03634200,"Balboaplein e.o.",242
BU06370902,"Balijbos",583
BU19400301,"Balk",70
BU01600404,"Balkbrug-Benedenvaart",820
BU01600402,"Balkbrug-Noord",401
BU01600403,"Balkbrug-Zuidoost",14
BU01600401,"Balkbrug-Zuidwest",21
BU07772000,"Banakkers 1",130
BU07772001,"Banakkers 2",402
BU07772002,"Banakkers 3",845
BU07772003,"Banakkers 4",564
BU19030501,"Banholt",29
BU03637003,"Banne Noordoost",832
BU03637002,"Banne Noordwest",769
BU03637001,"Banne Zuidoost",975
BU03637000,"Banne Zuidwest",403
BU01501010,"Bannink",154
BU03634704,"Banpleinbuurt",127
BU19400401,"Bantega",10
BU02620300,"Barchem",65
BU00470202,"Bareveld",132
BU00807401,"Barrahûs",271
BU07724230,"Barrier",417
BU18960410,"Barsbeek",111
BU19110300,"Barsingerhorn",78
BU06320402,"Barwoutswaarder",3
BU07180207,"Baskensburg Noord",321
BU07180203,"Baskensburg Zuid",792
BU09950161,"Bastion",142
BU04530805,"Bastionbuurt",986
BU05051008,"Bastion locatie",9
BU07530006,"Batadorp",473
BU03560400,"Batau Noord",2983
BU03560300,"Batau Zuid",3085
BU02741102,"Bato's Wijk",1454
BU19420003,"Batterijlaan",184
BU07580700,"Bavel",3671
BU07960203,"Bazeldonk",571
BU07726310,"BeA2",1739
BU00808108,"Bears",222
BU03635901,"Beatrixpark",34
BU02280205,"Beatrixpark",1089
BU06130308,"Beatrixstraat",402
BU19691000,"Bebouwde kom Enumatil",26
BU19690700,"Bebouwde kom Midwolde",2
BU19690500,"Bebouwde kom Zevenhuizen",221
BU15860301,"Bebouwde kom Zieuwent",27
BU01640900,"Beckum kern",140
BU01680002,"Bedrijfsterrein Losser",110
BU03638301,"Bedrijvencentrum Osdorp",66
BU03631502,"Bedrijvencentrum Westerkwartier",122
BU03633309,"Bedrijvengebied Cruquiusweg",72
BU03440821,"Bedrijvengebied Kanaleneiland",2153
BU03441033,"Bedrijvengebied Oudenrijn",2164
BU03440953,"Bedrijvengebied Papendorp",2601
BU03440952,"Bedrijvengebied Strijkviertel",963
BU03633308,"Bedrijvengebied Veelaan",52
BU03633310,"Bedrijvengebied Zeeburgerkade",89
BU00900016,"Bedrijvenpark",12
BU07960212,"Bedrijvenpark De Brand",1148
BU02000607,"Bedrijvenpark Ecofactorij",60
BU19420504,"Bedrijvenpark Gooimeer-Zuid",190
BU09951088,"Bedrijvenpark Larserpoort",669
BU03638002,"Bedrijvenpark Lutkemeer",625
BU05992459,"Bedrijvenpark Noord-West",1682
BU02000608,"Bedrijvenpark Oost",13
BU01412002,"Bedrijvenpark Twente",1155
BU03510008,"Bedrijventerrein",248
BU04517500,"Bedrijventerrein",657
BU04500005,"Bedrijventerrein",12
BU02260101,"Bedrijventerrein",1907
BU08551404,"Bedrijventerrein AaBe",114
BU17830904,"Bedrijventerrein ABC Westland",11
BU08556007,"Bedrijventerrein Albion",246
BU05031300,"Bedrijventerrein Altena",243
BU17341002,"Bedrijventerrein Andelst Oost",82
BU06320201,"Bedrijventerrein Barwoutswaarder",68
BU16590002,"Bedrijventerrein Beekerheide",461
BU02210106,"Bedrijventerrein Beinum",61
BU16590003,"Bedrijventerrein Bemmer",396
BU02960101,"Bedrijventerrein Bijsterhuizen",57
